product	tag
80148	404272,140,146925,727924,139920,300375,157485,159497,160685,139630,169207,140667,147486,147961,150992,149507,140748,169199,150127,152611,159795,139452,149992,150430,152234,300374,158480,169238,498860,265603,161140,169052,132,142341,404274,169189,149429,151155,149551,769018,157491
131220	10132,504360,400096,292203,17,68107,400092,68110,283155,10129,1000,10125
96791	265523,734016,883766,897592,526028,409298,403502,163396,432148,445322,408328,422022,163407,565160,579510,882766,432160,404278,404276,130,428834,292295,285080,422220,734006,419062,163412,512058,444858,139452,416120,455896,531552,426368,883088,883742,734042,883740,883084,163410,421742,883086,897584,292310,455278,579556,517808,883738,432526
333338	740082,144551,404272,769022,140,146925,740052,153951,168482,148037,163545,144411,160685,162496,740046,145165,129,149330,740058,168754,152340,740020,740094,139452,152234,740040,147638,142797,163454,769026,139,153507,740090,404274,126,740056,160843,769018,148147
363420	169207,285081,404272,139452,140,146925,132,169045,300276,573626,146930,404274,162066,498860,299391,301920,169187,162026
426656	449374,414446,300208,429340,429256,432148,448792,408328,579534,295214,579510,919296,404278,432466,404276,130,411316,300382,431054,452012,411152,430468,451116,409682,429104,444858,163414,139452,426222,300381,435314,430206,434574,498862,727934,424172,446798,738464,444870,425278
156960	5174,67208,67207,301668,67212
191395	265523,409710,734016,883766,433720,526028,409298,923878,292271,163396,410856,432148,436706,452740,163407,408328,565160,440340,579510,882766,512030,404278,883738,468374,420536,414374,404276,130,411316,285080,468384,734006,436106,430468,431758,163412,441514,409682,451116,531558,139452,419544,734022,292225,531552,424256,432396,883088,883742,734042,434574,498862,433550,883084,424172,163411,292310,517808,426020,579522,163413,595276
363427	301057,285081,404272,139452,140,146925,692182,541660,573626,146930,162066,301056,299391,497664,498860,162026
363428	301057,285081,404272,139452,140,146925,692182,541660,573626,146930,162066,301056,299391,497664,498860,162026
413990	5174,63941,16,63692,63695,598634,67167,468418,173429,468116,301668,37
544429	734044,265523,291057,417756,526028,444224,422082,409298,438726,418292,432148,448792,408328,579510,440340,404278,413720,420314,431386,404276,130,411316,291010,439234,449194,579550,413024,285080,734006,430468,291008,440364,432498,442262,139452,565162,419544,416120,442578,449506,426368,440960,421742,427848,163312,517808,444712
416560	416820,735728,442732,411242,429340,163296,421502,403502,408328,448792,295214,908714,579510,496396,404278,451590,448810,908716,163442,468374,163431,404276,130,453014,430468,451116,908728,409682,444858,139452,444426,579542,419544,416120,923038,442578,422096,431984,455252,454404,735732,498862,468056,908730,421742,163306,297864,424172,446082,424834,421802,451174,163432,429344
416561	149553,144551,404272,156323,140,146925,164085,571696,139920,157485,159497,160715,147261,159508,160685,141,156401,161648,169364,145856,150127,496388,145703,157265,139452,735678,150909,158114,301572,142797,143155,139,735682,163648,145672,145550,404274,144,140712,160927,149551,169624
442932	2769,540744,694936,1000,692220,692218,2778,2752,547930,694948,283155,2753,559958,4
262201	468304,5174,30,5191,5213,67207,67208,301668,467950
510912	501230,301540,1048658,139452,599836,579548,13743401,404276,130,163450,579510,13743441,1048638,408328,694466,3500031,13743481,415914,173580
374337	5174,67208,67207,301668,67212
510915	404272,139452,136,129,692182,599738,3689781,404274,501232,3685011,168754,466690,290797
373827	449374,414446,300208,429340,429256,432148,448792,408328,579534,295214,579510,919296,404278,432466,404276,130,411316,300382,431054,452012,411152,430468,451116,409682,429104,444858,163414,139452,426222,300381,435314,430206,434574,498862,727934,424172,446798,738464,444870,425278
19143	265523,768040,2612,2702,2675,3,2709,767740,768006,285080,768028,283155,14633,2689,767880,764512,75,1000,14631,2698,768022,767992
43592	417756,444224,422082,163296,438726,418292,408328,432148,295214,448792,886910,579510,440340,404278,413720,420314,431386,404276,130,411316,291010,439234,449194,579550,413024,291008,430468,440364,432498,442262,139452,419544,416120,442578,449506,426368,440960,421742,163306,297864,427848,163312,444712
229199	740082,144551,404272,769022,140,146925,692182,740052,153951,168482,148037,163545,144411,160685,740046,145165,129,149330,740058,168754,152340,740020,541666,740094,541660,139452,152234,740040,147638,142797,163454,769026,139,153507,740090,404274,740056,160843,769018,148147
540241	265523,2698,3,767740,768022,767880,764512,285080,768028,2711,768046,2612,283155,2704,1000,2702,768032
144337	400096,504360,292203,17,400092,283155,10129,1000,10125
186833	265523,404272,140,149290,148037,151000,131,526028,157485,145922,897574,145818,151185,285184,164415,285080,735448,735462,150992,169018,285081,169010,139452,157722,512056,142797,164098,139,168996,498860,145672,169009,753534,753542,404274,292355,897566,517808,498864,531334,144305,169034
234198	5174,67208,67207,301668,67212
263773	63934,5174,598170,67184,513060,63926,34,39,301668,265640
231263	149553,144551,265523,404272,156323,140,146925,164085,571696,526028,531370,139920,157485,159497,160715,746786,147261,159508,160685,141,156401,285080,161648,735448,169364,565180,145856,150127,496388,145703,157265,139452,735678,150909,158114,301572,746788,749062,749064,142797,735468,143155,139,735682,163648,145672,531224,735486,145550,404274,144,292355,749054,140712,160927,498864,149551,517808,735450,169624,746778
72159	400096,504360,2297,292203,10163,68112,17,68107,44,10134,400092,283155,658010,504358,1000,2296
88417	468304,5174,30,5191,5213,301668,467950
332522	265523,17238,640750,17236,17240,27,640502,640752,285080,3074321,640504,283155,640538,639538,17369,640516,640512,17227,17263,17371,1000,17367,640754,17228,605012,640514
136177	265523,404272,140,146925,300276,573626,526028,301920,169207,146930,162066,285080,735448,565180,169187,162026,285081,139452,169045,498860,735486,132,404274,292355,299391,517808,498864
282232	265523,144551,404272,141974,140,151171,156323,155499,526028,143912,148037,159705,156160,159497,157162,139882,155192,285080,735448,150992,565180,140748,150127,141618,139452,150602,157412,144944,142797,145849,139725,148790,159863,143638,145672,735486,139876,139728,404274,292355,155178,498864,517808
542331	3500191,740136,163328,740166,403502,291236,408328,740176,295214,740106,740132,579510,740168,404278,428912,454022,425578,404276,130,428208,740180,437946,426582,428210,454200,451116,163313,451426,139452,419544,416120,740142,579536,740144,426368,163390,163379,434574,437076,424172,297865,420748,740138,419270,434786,740126
230396	404272,140,146925,300276,727924,139920,300375,157485,159497,160685,139630,169207,140667,147486,147961,150992,149507,140748,169199,150127,169187,152611,159795,139452,149992,150430,152234,169045,300374,158480,169238,466696,498860,265603,161140,169052,132,142341,404274,169189,300277,149429,151155,149551,769018,157491
